Uporabnik_idUporabnik;COUNT(*)
fuzbaler92;28
care20;28
nesesekirat;28
sloveniano1;28
et-mb;28
mety;28
dr-kobillaek;28
dalton-z7xt;28
him6;28
hockey_fan;27
muujo;27
molekinho;27
mile10;27
jur-i;27
booster;27
deangelo;27
pokvarjen-hrvat;27
nica-lube;27
syd_barrett;27
dej;27
tim27lj;27
makekomi;27
heavyd;27
sedemsss;27
pravnosredstvo;27
topas;27
olimpija29;27
majwill;27
lacepec;27
gyore92;27
cjed;27
ahilles;27
me4uall;27
djfixme;27
sjeng88;27
bs3zokiland;27
dejko123;27
herrflick;27
minposster;27
bidox19;27
carlespuyol;27
dios;27
maestro-ivka;27
slovenc101;27
jernejd;27
zblj12345;27
neutral;27
mercator666;27
kolijak;27
x-central;27
boziceklol;27
walcott;27
cairns;27
juventino;27
starfucker;27
conse39;27
malbec;27
perez-cuapio;27
nacekpacek;27
cublen3000;26
dule04;26
betko007;26
zelenjava;26
bacek-jon;26
rudolf-maister;26
tamlemamo;26
peter-21;26
anjago2;26
skippy;26
ales505;26
leopold-blazinic;26
iluvatar;26
antifa-kn0d;26
freerideslo;26
goodkat;26
yeru;26
aleksandergreat;26
the-godfather;26
reptyle;26
cannex;26
petervrb;26
borc73;26
johnmichxx;26
purico;26
partyzan;26
bevcan;26
pobic_17;26
kratolin;26
speedy006;26
mishko;26
dr-lequack;26
crompe;26
garejnc;26
p2b;26
nusica;26
ribiic;26
r-m-a;26
andrey;26
baju;26
